,Ticket #,Badge,Issue Date ,IssueTime,Plate,State,Make,Model,Violation, Description,Location,Meter, Fine ,Penalty,lat,lng
108,4070021930,828.0,2020-01-02,1450,CLS6939,MI,NISS,,A02,PRK OVR LGL LMT,1100 BLK OF UNIV SOU,5785,25.0,0.0,42.281419,-83.748478
109,4070021929,828.0,2020-01-02,1442,DWZ2586,MI,DODG,,A01,EXPIRED METER,500 BLK OF CHURCH,5616,15.0,0.0,42.276891,-83.734629
110,4070021928,828.0,2020-01-02,1438,DVN3729,MI,FORD,,A01,EXPIRED METER,1200 BLK OF UNIVERSI,5802,25.0,35.0,42.281419,-83.748478
111,4070021927,828.0,2020-01-02,1434,EDF0610,MI,HYUN,,A01,EXPIRED METER,1300 BLK OF UNIVERSI,5835,15.0,0.0,42.281419,-83.748478
112,4070021926,828.0,2020-01-02,1418,DLH6405,MI,HOND,,A01,EXPIRED METER,300 BLK OF OBSERVATO,5351,25.0,0.0,42.281419,-83.748478
113,4130020416,832.0,2020-01-02,1009,1LXR63,MI,CHEV,,A01,EXPIRED METER,500 BLK OF THOMPSON,3945,25.0,0.0,42.276172,-83.743164
114,4070021925,828.0,2020-01-02,1415,HL50D,MI,HOND,,A02,PRK OVR LGL LMT,300 BLK OF OBSERVATO,5369,25.0,0.0,42.281419,-83.748478
115,4070021924,828.0,2020-01-02,1414,EEV8666,MI,TOYO,,A02,PRK OVR LGL LMT,300 BLK OF OBSERVATO,5371,25.0,0.0,42.281419,-83.748478
116,4070021923,828.0,2020-01-02,1407,7HMG26,MI,DODG,,A01,EXPIRED METER,1600 BLK OF WASHINGT,5445,25.0,0.0,42.281419,-83.748478
117,4090019531,822.0,2020-01-02,1443,6KHW36,MI,CHEV,,A01,EXPIRED METER,300 BLK OF DETROIT S,1559,15.0,0.0,42.281419,-83.748478
118,4070021921,828.0,2020-01-02,1245,DC02526,MI,CHEV,,A01,EXPIRED METER,700 BLK OF CHURCH,4763,25.0,0.0,42.27375,-83.73455
119,4070021920,828.0,2020-01-02,1234,6MKM30,MI,HOND,,A01,EXPIRED METER,600 BLK OF UNIVERSIT,4635,15.0,0.0,42.27117,-83.73577
120,4070021919,828.0,2020-01-02,1228,8DF983,MA,MITS,,A01,EXPIRED METER,500 BLK OF CHURCH,5598,15.0,0.0,42.276891,-83.734629
121,4070021918,828.0,2020-01-02,1225,DHV8990,MI,FORD,,A01,EXPIRED METER,500 BLK OF CHURCH,5614,15.0,0.0,42.276891,-83.734629
122,4070021917,828.0,2020-01-02,1217,EBZ8413,MI,CADI,,A01,EXPIRED METER,1200 BLK OF UNIVERSI,5815,25.0,0.0,42.281419,-83.748478
123,4070021916,828.0,2020-01-02,1215,ATG336,MI,HOND,,A01,EXPIRED METER,1300 BLK OF UNIVERSI,5831,25.0,0.0,42.281419,-83.748478
124,4070021915,828.0,2020-01-02,1206,DWN5835,MI,HOND,,A17,LEFT TO CURB,1300 BLK OF UNIV CT,5507,40.0,0.0,42.281419,-83.748478
125,4070021914,828.0,2020-01-02,1146,DFK7886,MI,SATU,,A01,EXPIRED METER,1200 BLK OF ANN EAST,5421,25.0,0.0,42.282296,-83.733279
126,4070021913,828.0,2020-01-02,1124,DLN2989,MI,FORD,,A01,EXPIRED METER,1200 BLK OF WASHTENA,5659,25.0,0.0,42.281419,-83.748478
127,4070021912,828.0,2020-01-02,1111,DGW9289,MI,BMW,,A01,EXPIRED METER,700 BLK OF CHURCH,4759,15.0,0.0,42.27375,-83.73455
128,4070021911,828.0,2020-01-02,1100,DAH6697,MI,JEEP,,A01,EXPIRED METER,700 BLK OF UNIVERSIT,4663,25.0,0.0,42.27854,-83.74019
129,4070021910,828.0,2020-01-02,1051,DA23867,MI,FORD,,A01,EXPIRED METER,1100 BLK OF UNIVERSI,5784,0.0,0.0,42.281419,-83.748478
130,4070021909,828.0,2020-01-02,1050,DA12279,MI,FORD,,A01,EXPIRED METER,1100 BLK OF UNIVERSI,5782,0.0,0.0,42.281419,-83.748478
131,4070021908,828.0,2020-01-02,1046,DB84483,MI,DODG,,A01,EXPIRED METER,1100 BLK OF UNIVERSI,5789,15.0,0.0,42.281419,-83.748478
132,4070021907,828.0,2020-01-02,1039,DWM9875,MI,FORD,,A29,OTHER,500 BLK OF CHURCH,5594,25.0,0.0,42.276891,-83.734629
133,4070021906,828.0,2020-01-02,1037,DJKB82,FL,CHEV,,A01,EXPIRED METER,500 BLK OF CHURCH,5592,25.0,35.0,42.276891,-83.734629
134,4070021904,828.0,2020-01-02,1011,XYX612,LA,HOND,,A06,NO PARKING,RAMP 4,,35.0,20.0,,
135,4090019532,822.0,2020-01-02,1443,EDP9938,MI,HOND,,A01,EXPIRED METER,300 BLK OF DETROIT S,1557,25.0,0.0,42.281419,-83.748478
136,4120022817,837.0,2020-01-02,1332,DLN6795,MI,NISS,,A45,OVER LEGAL TIME LIMIT,400 BLK OF ASHLEY SO,,25.0,0.0,42.281419,-83.748478
137,4120022841,837.0,2020-01-02,1612,CFG041,MI,FORD,,A45,OVER LEGAL TIME LIMIT,500 BLK OF ASHLEY SO,,25.0,0.0,42.281419,-83.748478
138,4120022815,837.0,2020-01-02,1327,DEZ6467,MI,BMW,,A45,OVER LEGAL TIME LIMIT,400 BLK OF ASHLEY SO,,25.0,0.0,42.281419,-83.748478
